Well,Target,Sample,Cq,Cq Mean
A01,TNF-a,Uninfected,22.04971429,22.04971429
A02,TNF-a,Infected,18.90613793,18.90613793
A03,TNF-a,Uninfected,21.64117557,21.64117557
A04,TNF-a,Infected,17.44954256,17.44954256
A05,TNF-a,Uninfected,22.14536581,22.14536581
A06,TNF-a,Infected,18.11865997,18.11865997
A07,IL-6,Uninfected,NaN,0
A08,IL-6,Infected,27.27477142,27.27477142
A09,IL-6,Uninfected,36.30802995,36.30802995
A10,IL-6,Infected,27.29943669,27.29943669
A11,IL-6,Uninfected,35.68359246,35.68359246
A12,IL-6,Infected,27.38150791,27.38150791
B01,TNF-a,Uninfected,22.11331357,22.11331357
B02,TNF-a,Infected,18.16236735,18.16236735
B03,TNF-a,Uninfected,21.91413593,21.91413593
B04,TNF-a,Infected,17.49375429,17.49375429
B05,TNF-a,Uninfected,22.20423396,22.20423396
B06,TNF-a,Infected,18.39499721,18.39499721
B07,IL-6,Uninfected,35.6127522,35.6127522
B08,IL-6,Infected,28.55040896,28.55040896
B09,IL-6,Uninfected,35.55718326,35.55718326
B10,IL-6,Infected,27.42768169,27.42768169
B11,IL-6,Uninfected,35.41513839,35.41513839
B12,IL-6,Infected,27.34781436,27.34781436
C01,TNF-a,Uninfected,21.77470943,21.77470943
C02,TNF-a,Infected,18.13003146,18.13003146
C03,TNF-a,Uninfected,21.48308674,21.48308674
C04,TNF-a,Infected,17.22986307,17.22986307
C05,TNF-a,Uninfected,21.86514869,21.86514869
C06,TNF-a,Infected,18.37924455,18.37924455
C07,IL-6,Uninfected,35.54391506,35.54391506
C08,IL-6,Infected,27.70146151,27.70146151
C09,IL-6,Uninfected,36.21733492,36.21733492
C10,IL-6,Infected,27.29533771,27.29533771
C11,IL-6,Uninfected,NaN,0
C12,IL-6,Infected,27.60337639,27.60337639
D01,GAPDH,Uninfected,15.49025383,15.49025383
D02,GAPDH,Infected,15.3794836,15.3794836
D03,GAPDH,Uninfected,15.37225307,15.37225307
D04,GAPDH,Infected,15.07374267,15.07374267
D05,GAPDH,Uninfected,15.94003299,15.94003299
D06,GAPDH,Infected,15.22574746,15.22574746
D07,GAPDH,Uninfected,15.53110021,15.53110021
D08,GAPDH,Infected,14.77539304,14.77539304
D09,GAPDH,Uninfected,15.47831405,15.47831405
D10,GAPDH,Infected,14.97381619,14.97381619
D11,GAPDH,Uninfected,15.83434359,15.83434359
D12,GAPDH,Infected,15.5391361,15.5391361
E01,GAPDH,Uninfected,15.35029918,15.35029918
E02,GAPDH,Infected,14.8382133,14.8382133
E03,GAPDH,Uninfected,15.36954605,15.36954605
E04,GAPDH,Infected,14.97195357,14.97195357
E05,GAPDH,Uninfected,14.94302331,14.94302331
E06,GAPDH,Infected,15.33648803,15.33648803
E07,GAPDH,Uninfected,15.50473674,15.50473674
E08,GAPDH,Infected,15.03726482,15.03726482
E09,GAPDH,Uninfected,15.2152983,15.2152983
E10,GAPDH,Infected,15.11506903,15.11506903
E11,GAPDH,Uninfected,15.35100299,15.35100299
E12,GAPDH,Infected,15.21887111,15.21887111
F01,GAPDH,Uninfected,15.41345973,15.41345973
F02,GAPDH,Infected,15.224622,15.224622
F03,GAPDH,Uninfected,15.56704808,15.56704808
F04,GAPDH,Infected,15.12395623,15.12395623
F05,GAPDH,Uninfected,15.35487358,15.35487358
F06,GAPDH,Infected,15.40925518,15.40925518
F07,GAPDH,Uninfected,15.54594063,15.54594063
F08,GAPDH,Infected,15.15786907,15.15786907
F09,GAPDH,Uninfected,15.3314459,15.3314459
F10,GAPDH,Infected,14.88880747,14.88880747
F11,GAPDH,Uninfected,15.6137203,15.6137203
F12,GAPDH,Infected,15.15346447,15.15346447
